hs6,isic4
281310,2011
281390,2011
281410,2012
281420,2012
281511,2011
281512,2011
281520,2011
281530,2011
281610,2011
281640,2011
281700,2011
281810,2399
281820,2420
281830,2011
281910,2011
281990,2011
282010,2011
282090,2011
282110,2011
282120,2011
282200,2011
282300,2011
282410,2011
282490,2011
282510,2011
282520,2011
282530,2011
282540,2011
282550,2011
282560,2011
282570,2011
282580,2011
282590,2011
282612,2011
282619,2011
282630,2011
282690,2011
282710,2012
282720,2011
282731,2011
282732,2011
282735,2011
282739,2011
282741,2011
282749,2011
282751,2011
282759,2011
282760,2011
282810,2011
282890,2011
282911,2011
282919,2011
282990,2011
283010,2011
283090,2011
283110,2011
283190,2011
283210,2011
283220,2011
283230,2011
283311,2011
283319,2011
283321,2011
283322,2011
283324,2011
283325,2011
283327,2011
283329,2011
283330,2011
283340,2011
283410,2012
283421,2012
283429,2011
283510,2011
283522,2011
283524,2011
283525,2011
283526,2011
283529,2011
283531,2011
283539,2011
283620,2011
283630,2011
283640,2011
283650,2011
283660,2011
283691,2011
283692,2011
283699,2011
283711,2011
283719,2011
283720,2011
283911,2011
283919,2011
283990,2011
284011,2011
284019,2011
284020,2011
284030,2011
284130,2011
284150,2011
284161,2011
284169,2011
284170,2011
284180,2011
284190,2011
284210,2011
284290,2011
284310,2011
284321,2011
284329,2011
284330,2011
284390,2011
284410,2011
284420,2011
284430,2011
284440,2011
284450,3510
284510,2011
284590,2011
284610,2011
284690,2011
284700,2011
284800,2011
284910,2011
284920,2011
284990,2011
285000,2011
285210,2011
285290,2011
285300,2011
290110,2011
290121,2011
290122,2011
290123,2011
290124,2011
290129,2011
290211,2011
290219,2011
290220,2011
290230,2011
290241,2011
290242,2011
290243,2011
290244,2011
290250,2011
290260,2011
290270,2011
290290,2011
290311,2011
290312,2011
290313,2011
290314,2011
290315,2011
290319,2011
290321,2011
290322,2011
290323,2011
290329,2011
290331,2011
290339,2011
290371,2011
290372,2011
290373,2011
290374,2011
290375,2011
290376,2011
290377,2011
290378,2011
290379,2011
290381,2011
290382,2011
290389,2011
290391,2011
290392,2011
290399,2011
290410,2011
290420,2011
290490,2011
290511,2011
290512,2011
290513,2011
290514,2011
290516,2011
290517,2011
290519,2011
290522,2011
290529,2011
290531,2011
290532,2011
290539,2011
290541,2011
290542,2011
290543,2011
290544,2011
290545,2011
290549,2011
290551,2011
290559,2011
290611,2011
290612,2011
290613,2011
290619,2011
290621,2011
290629,2011
290711,2011
290712,2011
290713,2011
290715,2011
290719,2011
290721,2011
290722,2011
290723,2011
290729,2011
290811,2011
290819,2011
290891,2011
290892,2011
290899,2011
290911,2011
290919,2011
290920,2011
290930,2011
290941,2011
290943,2011
290944,2011
290949,2011
290950,2011
290960,2011
291010,2011
291020,2011
291030,2011
291040,2011
291090,2011
291100,2011
291211,2011
291212,2011
291219,2011
291221,2011
291229,2011
291241,2011
291242,2011
291249,2011
291250,2011
291260,2011
291300,2011
291411,2011
291412,2011
291413,2011
291419,2011
291422,2011
291423,2011
291429,2011
291431,2011
291439,2011
291440,2011
291450,2011
291461,2011
291469,2011
291470,2011
291511,2011
291512,2011
291513,2011
291521,2011
291524,2011
291529,2011
291531,2011
291532,2011
291533,2011
291536,2011
291539,2011
291540,2011
291550,2011
291560,2011
291570,2011
291590,2011
291611,2011
291612,2011
291613,2011
291614,2011
291615,2011
291616,2011
291619,2011
291620,2011
291631,2011
291632,2011
291634,2011
291639,2011
291711,2011
291712,2011
291713,2011
291714,2011
291719,2011
291720,2011
291732,2011
291733,2011
291734,2011
291735,2011
291736,2011
291737,2011
291739,2011
291811,2011
291812,2011
291813,2011
291814,2011
291815,2011
291816,2011
291818,2011
291819,2011
291821,2100
291822,2100
291823,2100
291829,2011
291830,2011
291891,2011
291899,2011
291910,2011
291990,2011
292011,2011
292019,2011
292090,2011
292111,2011
292119,2011
292121,2011
292122,2011
292129,2011
292130,2011
292141,2011
292142,2011
292143,2011
292144,2011
292145,2011
292146,2011
292149,2011
292151,2011
292159,2011
292211,2011
292212,2011
292213,2011
292214,2011
292219,2011
292221,2011
292229,2011
292231,2011
292239,2011
292241,2100
292242,2100
292243,2011
292244,2011
292249,2011
292250,2011
292310,2100
292320,2100
292390,2100
292411,2100
292412,2100
292419,2100
292421,2011
292423,2100
292424,2100
292429,2100
292511,2011
292512,2011
292519,2011
292521,2011
292529,2011
292610,2011
292620,2011
292630,2011
292690,2011
292700,2011
292800,2011
292910,2011
292990,2011
293020,2011
293030,2011
293040,2011
293050,2011
293090,2011
293110,2011
293120,2011
293190,2011
293211,2011
293212,2011
293213,2011
293219,2011
293220,2100
293291,2011
293292,2011
293293,2011
293294,2011
293295,2011
293299,2011
293311,2100
293319,2100
293321,2100
293329,2011
293331,2011
293332,2011
293333,2011
293339,2011
293341,2011
293349,2011
293352,2100
293353,2100
293354,2100
293355,2100
293359,2100
293361,2011
293369,2100
293371,2011
293372,2011
293379,2011
293391,2011
293399,2011
293410,2011
293420,2011
293430,2100
293491,2011
293499,2011
293500,2100
293621,2100
293622,2100
293623,2100
293624,2100
293625,2100
293626,2100
293627,2100
293628,2100
293629,2100
293690,2100
293711,2100
293712,2100
293719,2100
293721,2100
293722,2100
293723,2100
293729,2100
293750,2100
293790,2100
293810,2100
293890,2100
293911,2100
293919,2100
293920,2100
293930,2100
293941,2100
293942,2100
293943,2100
293944,2100
293949,2100
293951,2100
293959,2100
293961,2100
293962,2100
293963,2100
293969,2100
293991,2100
293999,2100
294000,2100
294110,2100
294120,2100
294130,2100
294140,2100
294150,2100
294190,2100
294200,2011
300120,2100
300190,2100
300210,2100
300220,2100
300230,2100
300290,2100
300310,2100
300320,2100
300331,2100
300339,2100
300340,2100
300390,2100
300410,2100
300420,2100
300431,2100
300432,2100
300439,2100
300440,2100
300450,2100
300490,2100
300510,2100
300590,2100
300610,3250
300620,2100
300630,2100
300640,3250
300650,3250
300660,2100
300670,3250
300691,2220
300692,n/a
310100,0141
310210,2012
310221,2012
310229,2012
310230,2012
310240,2012
310250,2011
310260,2012
310280,2012
310290,2012
310310,2012
310390,2012
310420,2012
310430,2012
310490,0891
310510,2012
310520,2012
310530,2012
310540,2012
310551,2012
310559,2012
310560,2012
310590,2012
320110,2011
320120,2011
320190,2011
320210,2011
320290,2011
320300,2011
320411,2011
320412,2011
320413,2011
320414,2011
320415,2011
320416,2011
320417,2011
320419,2011
320420,2011
320490,2011
320500,2011
320611,2011
320619,2011
320620,2011
320641,2011
320642,2011
320649,2011
320650,2011
320710,2022
320720,2022
320730,2022
320740,2022
320810,2022
320820,2022
320890,2022
320910,2022
320990,2022
321000,2022
321100,2022
321210,2022
321290,2022
321310,2022
321390,2022
321410,2022
321490,2022
321511,2022
321519,2022
321590,2029
330112,2029
330113,2029
330119,2029
330124,2029
330125,2029
330129,2029
330130,2029
330190,2029
330210,2029
330290,2029
330300,2023
330410,2023
330420,2023
330430,2023
330491,2023
330499,2023
330510,2023
330520,2023
330530,2023
330590,2023
330610,2023
330620,2023
330690,2023
330710,2023
330720,2023
330730,2023
330741,2023
330749,2023
330790,2023
340111,2023
340119,2023
340120,2023
340130,2023
340211,2023
340212,2023
340213,2023
340219,2023
340220,2023
340290,2023
340311,2029
340319,2029
340391,2029
340399,2029
340420,2023
340490,2023
340510,2023
340520,2023
340530,2023
340540,2023
340590,2023
340600,3290
340700,2029
350110,1050
350190,2029
350211,1079
350219,1079
350220,2029
350290,2029
350300,2029
350400,2029
350510,1062
350520,2029
350610,2029
350691,2029
350699,2029
350710,2011
350790,2011
360100,2029
360200,2029
360300,2029
360410,2029
360490,2029
360500,2029
360610,3290
360690,3290
370110,2029
370120,2029
370130,2029
370191,2029
370199,2029
370210,2029
370231,2029
370232,2029
370239,2029
370241,2029
370242,2029
370243,2029
370244,2029
370252,2029
370253,2029
370254,2029
370255,2029
370256,2029
370296,2029
370297,2029
370298,2029
370310,2029
370320,2029
370390,2029
370400,7420
370510,7420
370590,7420
370610,5911
370690,5911
370710,2029
370790,2029
380110,2399
380120,2399
380130,2399
380190,2399
380210,2029
380290,2011
380300,2011
380400,n/a
380510,2011
380590,2011
380610,2011
380620,2011
380630,2011
380690,2011
380700,2011
380850,2021
380891,2021
380892,2021
380893,2021
380894,2021
380899,2021
380910,2029
380991,2029
380992,2029
380993,2029
381010,2029
381090,2029
381111,2029
381119,2029
381121,2029
381129,2029
381190,2029
381210,2029
381220,2029
381230,2029
381300,2029
381400,2022
381511,2029
381512,2029
381519,2029
381590,2029
381600,2391
381700,2029
381800,2029
381900,2029
382000,2029
382100,2029
382200,2029
382311,2011
382312,2011
382313,2011
382319,2011
382370,2011
382410,2029
382430,2029
382440,2029
382450,2395
382460,2029
382471,2029
382472,2029
382473,2029
382474,2029
382475,2029
382476,2029
382477,2029
382478,2029
382479,2029
382481,2029
382482,2029
382483,2029
382490,2029
382510,n/a
382520,n/a
382530,n/a
382541,n/a
382549,n/a
382550,n/a
382561,n/a
382569,n/a
382590,n/a
382600,1920
390110,2013
390120,2013
390130,2013
390190,2013
390210,2013
390220,2013
390230,2013
390290,2013
390311,2013
390319,2013
390320,2013
390330,2013
390390,2013
390410,2013
390421,2013
390422,2013
390430,2013
390440,2013
390450,2013
390461,2013
390469,2013
390490,2013
390512,2013
390519,2013
390521,2013
390529,2013
390530,2013
390591,2013
390599,2013
390610,2013
390690,2013
390710,2013
390720,2013
390730,2013
390740,2013
390750,2013
390760,2013
390770,2013
390791,2013
390799,2013
390810,2013
390890,2013
390910,2013
390920,2013
390930,2013
390940,2013
390950,2013
391000,2013
391110,2013
391190,2013
391211,2013
391212,2013
391220,2013
391231,2013
391239,2013
391290,2013
391310,2013
391390,2013
391400,2013
391510,n/a
391520,n/a
391530,n/a
391590,n/a
391610,2220
391620,2220
391690,2220
391710,2220
391721,2220
391722,2220
