kbli4,sektor,tk,upah_per_pekerja,ULC,energi_per_pekerja,nilai_output,X_kg,X_usd,Px,Pm
2431,Capital Intensive,2490.0,26590158.63453815,0.04685556858618786,514669520.4819277,4877358781.0,394385726.0,711327418.0,1.8036337805998588,2.0717634255230104
2511,Capital Intensive,34615.0,27050953.892821033,0.05267421097042015,121298856.94063267,49345400438.0,144579147.0,452180609.0,3.127564509700697,2.208144753900372
2512,Capital Intensive,6989.0,42382871.369294606,0.1927471481401592,20764508.799542136,2460792776.0,47257075.0,67853817.0,1.4358446222073626,4.075062524657451
2513,Capital Intensive,775.0,39985898.06451613,0.5865839700439868,3682036.129032258,121562588.0,18633771.0,97598855.0,5.237740390820516,6.2760874878092
2593,Capital Intensive,18495.0,25411884.56339551,0.1039951839119611,50758381.77885915,7903334020.0,26457879.0,239835404.0,9.064800848170785,5.1644743814410266
2599,Capital Intensive,46610.0,23502812.85131946,0.36922882658344075,5539426.045912894,7546544806.0,290602270.0,893875087.0,3.075939795652663,3.7554279141336866
2651,Capital Intensive,2015.0,22333952.3573201,0.22909778206064468,4243958.808933003,339773483.0,10417073.0,412001989.0,39.550648152316874,16.304163794505683
2652,Capital Intensive,837.0,28366017.92114695,0.7129742730126089,3924996.4157706094,57127628.0,291765.0,10963346.0,37.575946395215325,7.494106715628818
2660,Capital Intensive,1049.0,29552416.58722593,0.22018873061023514,2792477.5977121065,180369813.0,5156797.0,168830534.0,32.73941828619587,155.74371133831784
2680,Capital Intensive,1537.0,11926050.097592713,0.13201168007373043,2516450.2277163304,178391410.0,2899155.0,14640957.0,5.0500773501244325,6.978899357140292
2720,Capital Intensive,15315.0,70850223.11459354,0.14499899743377548,56207661.9653934,14444081131.0,162761438.0,746363911.0,4.585631094018719,6.979622554791507
2731,Capital Intensive,18706.0,225076236.12744573,0.7392715598060089,51777837.9129691,18122150143.0,151646.0,1799569.0,11.866907138994764,6.1094145730533365
2732,Capital Intensive,8853.0,27897900.14684288,0.09029846287405945,20725644.414322827,9405556387.0,85962344.0,1071375583.0,12.463312808222168,7.121842520939085
2733,Capital Intensive,913.0,34537610.07667032,0.08459284535132094,3698674.698795181,468576947.0,179323.0,676524.0,3.772656045236807,5.492000856691366
2740,Capital Intensive,20118.0,42145970.6233224,0.06903957887974954,280277513.0728701,22310935077.0,37205497.0,412859363.0,11.096730222418477,10.261489724643779
2790,Capital Intensive,2815.0,117203741.38543516,0.09185308665032266,5576745.293072824,4046294196.0,6316211.0,70989977.0,11.23932956007961,13.012209322755682
2811,Capital Intensive,12667.0,30801369.621852055,0.05615299233103541,64383112.57598484,10208779476.0,7761677.0,159641663.0,20.56793435233133,6.153650437705254
2812,Capital Intensive,6396.0,25488970.919324577,0.2409346339348161,24801012.82051282,2065747853.0,2742968.0,27557959.0,10.046766495270816,11.936097559954634
2813,Capital Intensive,5897.0,45995154.82448703,0.15870667575644257,19056303.883330505,2751489842.0,35677511.0,425920881.0,11.938077210599136,9.254174364822939
2814,Capital Intensive,5504.0,32091694.76744186,0.1272485099169062,39436249.45494186,4066124289.0,31094830.0,347581140.0,11.178100668181816,9.46161251322086
2815,Capital Intensive,941.0,25974096.705632307,0.37756576456332597,4551738.575982997,119766141.0,395936.0,2436239.0,6.15311312939465,6.786798368434185
2816,Capital Intensive,3923.0,61068674.22890645,0.21527097495469733,12459741.779250573,2125536181.0,27822788.0,168671335.0,6.062344830431803,5.423528628000692
2817,Capital Intensive,2630.0,40160300.38022814,0.07510883160621484,370737601.1406844,2862175115.0,16845748.0,428513326.0,25.437476922960027,14.96541714974487
2819,Capital Intensive,6099.0,33437916.871618297,0.2972910951082963,20951091.16248565,2545008252.0,65940848.0,471268528.0,7.146837541428039,10.385544777909585
2821,Capital Intensive,1410.0,23553386.524822693,0.23870254675251829,14263440.425531914,530537752.0,1924203.0,12469730.0,6.480464898973757,4.226718176964854
2822,Capital Intensive,4066.0,35902018.44564683,0.032387915923016736,60734994.34333497,6604473704.0,5018381.0,24469964.0,4.876067401020369,4.014311662293938
2824,Capital Intensive,2381.0,50088328.01343973,0.2481098121447021,16541084.838303234,3503054925.0,194911564.0,809417721.0,4.152743451383931,4.814806034610837
2825,Capital Intensive,798.0,15443392.23057644,0.3974603013858252,5205675.438596491,90033363.0,2590979.0,24112381.0,9.306281911200362,11.471857488942687
2826,Capital Intensive,1104.0,41041028.98550725,1.0643225867889745,1356128.6231884058,63804574.0,4472891.0,36704269.0,8.205938620011084,8.55386575602919
2829,Capital Intensive,3067.0,21305895.663514834,0.30218988205239655,4244163.677861102,588239893.0,9908937.0,159202068.0,16.066513289972477,14.380612042777827
2910,Capital Intensive,39555.0,88595540.8165845,0.051616385850717955,13618247.93325749,99009012569.0,258450706.0,2551366460.0,9.87177206627557,10.39315334658739
2920,Capital Intensive,10355.0,18922082.95509416,0.11525952499285859,6299550.941574119,3126779508.0,8260043.0,30988849.0,3.7516571039642286,6.649074407874582
2930,Capital Intensive,68733.0,42108738.18980693,0.05405235576886375,45482142.50796561,94085558013.0,228224631.0,1883999007.0,8.255020497765642,10.44001692545699
3011,Capital Intensive,12678.0,28327926.329073988,0.05026272340088593,54040219.43524215,14626828327.0,163092862.0,815110906.0,4.9978331117887915,1.3896929191140917
3091,Capital Intensive,55726.0,29682951.763988085,0.036682540223585774,37502566.12712199,88726027413.0,37247765.0,397069022.0,10.660210673043068,5.0681968587134145
3092,Capital Intensive,6153.0,23919187.22574354,0.5711557938825507,2817120.266536649,454116941.0,44237532.0,398538840.0,9.009065876459836,2.594886871613164
3100,Labor Intensive,190127.0,26539156.079883445,0.6261824925005713,4409985.27300173,22569485544.0,594415398.0,1695093225.0,2.8516980392893525,2.807623534778303
3211,Labor Intensive,11521.0,30178491.103202846,0.2069831025515981,3647463.6750282096,3128092593.0,4094610.0,166755167.0,40.725531125064414,62.876755136261245
3212,Labor Intensive,182.0,20673846.153846152,0.35102649388751506,1499763.7362637362,22519666.0,494982.0,12201645.0,24.65068426730669,3.468065395391068
3220,Labor Intensive,14874.0,27572213.728654027,0.6803421126118665,2449775.850477343,1323183422.0,52100028.0,543654776.0,10.434826944814693,10.645993880286104
3230,Labor Intensive,7857.0,22440147.002672777,0.3479783988264022,3671457.2992236223,1007096351.0,8009859.0,189115861.0,23.610385775829513,3.9756064869049212
3240,Labor Intensive,31369.0,16003446.204851924,0.36876586882203777,1647367.528451656,2747213030.0,31359344.0,352801485.0,11.250282690862411,2.7876314482112465
3250,Labor Intensive,6739.0,21914979.81896424,0.18087955548487678,13416650.690013355,1072918332.0,6999154.0,106336543.0,15.192770869165045,13.910057021344702
3290,Labor Intensive,85396.0,23794815.202117193,0.523032486754073,2128502.4005808234,7200122583.0,59677498.0,564495669.0,9.459104150110315,5.452226286488026
