tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
2007,Rev3,15212,152,15,4,884,13355884,232511195,123228227,109282968,0,11006835,95914109,53320153,0,0,0,1,0.1222,15108466,123623267,0,12451171,0.5559,0.0
2009,Rev3,15212,152,15,3,136,1951207,8338707,4101814,4236893,2526180,417773,1494411,0,0,0,1,0,0.4605,14347110,31153625,18574853,3071860,0.0,0.0
2010,Rev3,15212,152,15,3,142,1507437,5070906,2675458,2395448,2526180,271237,1528855,0,0,0,1,0,0.6293,10615754,16869352,17790000,1910120,0.0,0.0
2006,Rev3,15213,152,15,16,0,0,635781774,400448672,235333103,0,0,0,0,0,0,0,0,,,,,,,0.0
2007,Rev3,15213,152,15,16,2394,47843731,494000098,326214325,167785773,9829885,67673434,237041196,12066994,0,0,4,0,0.2851,19984850,70085954,4106051,28267934,0.0509,0.0
2009,Rev3,15213,152,15,17,2238,43320582,467287673,267709663,199578010,9672249,13379789,227597683,702180,0,0,4,0,0.2171,19356828,89176948,4321827,5978458,0.0031,0.0
2010,Rev3,15213,152,15,14,1495,25067128,278575610,136344454,142231156,567381,6622219,113346165,1073226,0,0,2,0,0.1762,16767310,95137897,379519,4429578,0.0095,0.0
2006,Rev3,15311,153,15,451,0,0,4073225835,3356882986,716342849,0,0,0,0,5984347,2,0,0,,,,,,,0.0015
2007,Rev3,15311,153,15,417,13585,106449817,4611687961,3821271386,790416575,4388969936,103969916,3618609974,0,499000,1,139,0,0.1347,7835835,58183038,323074710,7653288,0.0,0.0001
2009,Rev3,15311,153,15,380,12408,107902971,4764908705,4172294379,592614326,56080218,81960456,3941164579,600567,8859860,2,128,0,0.1821,8696242,47760665,4519682,6605453,0.0002,0.0019
2010,Rev3,15311,153,15,335,10787,98047344,4367587294,3525588177,841999117,43887314,44978993,3402708852,0,0,0,103,1,0.1164,9089399,78056839,4068537,4169741,0.0,0.0
2006,Rev3,15312,153,15,7,0,0,47284847,32207569,15077278,0,0,0,0,0,0,0,0,,,,,,,0.0
2007,Rev3,15312,153,15,14,804,7616019,355581235,135923577,219657658,2954976,23327434,117843940,0,0,0,4,1,0.0347,9472660,273206042,3675343,29014221,0.0,0.0
2009,Rev3,15312,153,15,17,1086,13530388,623838453,534187114,89651339,11035075,8520647,520359357,0,573105,1,7,0,0.1509,12458921,82551878,10161211,7845900,0.0,0.0009
2010,Rev3,15312,153,15,12,861,12803884,551279942,481591399,69688543,11347578,8868192,459787968,0,0,0,3,0,0.1837,14870945,80939074,13179533,10299875,0.0,0.0
2006,Rev3,15313,153,15,66,0,0,1921679749,1512761518,408918231,0,0,0,0,1236422822,33,0,0,,,,,,,0.6434
2007,Rev3,15313,153,15,54,12051,87366175,1509141821,1136388305,372753516,1016734300,28148890,1006150384,344118,677332753,12,23,5,0.2344,7249703,30931335,84369289,2335814,0.0003,0.4488
2009,Rev3,15313,153,15,50,12762,95885830,2496038550,2029390600,466647950,1061946552,31535406,1458769609,0,41855958138,16,15,4,0.2055,7513386,36565425,83211609,2471039,0.0,16.769
2010,Rev3,15313,153,15,45,10520,130004460,5236895462,4304646714,932248748,1551135659,49056173,3843713499,11280,412789238,14,16,3,0.1395,12357838,88616801,147446355,4663134,0.0,0.0788
2006,Rev3,15314,153,15,24,0,0,10291746619,1170190058,9121556561,0,0,0,0,5487334191,17,0,0,,,,,,,0.5332
2007,Rev3,15314,153,15,21,6006,41147013,9076391895,8109822444,966569451,12866462,302385126,7534258106,12524210,45906971,4,4,5,0.0426,6850985,160933975,2142268,50347174,0.0017,0.0051
