hs6,cif_usd,kg,Pm_usd_per_kg,Pm_rp_per_kg,isic3,isic4,bec1,intermediate
070930,74.0,22.0,3.363636,31573.21,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070940,203090.0,137758.0,1.474252,13838.26,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070951,308913.0,179126.0,1.724557,16187.78,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070959,1786132.0,1152456.0,1.549848,14547.85,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070960,2589497.0,2821787.0,0.91768,8613.92,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070970,44712.0,36263.0,1.232992,11573.64,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070990,426512.0,373354.0,1.14238,10723.09,0112,0113|0119|0125|0128|0129|0130|0230,1,0
071010,5529430.0,5639826.0,0.980426,9202.89,1513,1030|1075,1,0
071021,843288.0,680038.0,1.24006,11639.99,1513,1030|1075,1,0
071022,13662.0,4449.0,3.070802,28824.49,1513,1030|1075,1,0
071029,1703022.0,1352884.0,1.258809,11815.97,1513,1030|1075,1,0
071030,122029.0,41935.0,2.909956,27314.68,1513,1030|1075,1,0
071040,1673689.0,1083586.0,1.544583,14498.43,1513,1030|1075,1,0
071080,526489.0,389387.0,1.352097,12691.63,1513,1030|1075,1,0
071090,1056344.0,968222.0,1.091014,10240.95,1513,1030|1075,1,0
071120,48828.0,13814.0,3.534675,33178.69,1513,1030|1075,1,0
071140,17623.0,10487.0,1.680462,15773.87,1513,1030|1075,1,0
071190,3193075.0,3170074.0,1.007256,9454.74,1513,1030|1075,1,0
071220,11658527.0,4425577.0,2.634352,24727.69,1513,1030|1075,1,0
071231,100319.0,17427.0,5.756527,54034.39,1513,1030|1075,1,0
071232,560783.0,410064.0,1.36755,12836.69,1513,1030|1075,1,0
071233,97221.0,88010.0,1.104659,10369.02,1513,1030|1075,1,0
071239,887523.0,398093.0,2.229436,20926.89,1513,1030|1075,1,0
071290,11556436.0,7141814.0,1.618137,15188.86,1513,1030|1075,1,0
071310,4606515.0,10746127.0,0.428667,4023.74,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
071320,379255.0,430925.0,0.880095,8261.13,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
071331,49130185.0,63069562.0,0.778984,7312.04,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
071332,81109.0,126728.0,0.640024,6007.67,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
071333,903021.0,1779745.0,0.507388,4762.66,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
071339,2540315.0,4184853.0,0.607026,5697.93,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
071340,11878.0,2871.0,4.137234,38834.69,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
071350,9238930.0,12378240.0,0.746385,7006.04,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
071390,8577689.0,9343442.0,0.918044,8617.34,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
071410,3419138.0,13291339.0,0.257246,2414.67,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
071420,33607.0,20838.0,1.612775,15138.52,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
071490,403735.0,312231.0,1.293065,12137.52,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
080111,883067.0,503032.0,1.755489,16478.12,0113,1102,1,0
080119,1043439.0,1132268.0,0.921548,8650.23,0113,1102,1,0
080122,11842.0,2045.0,5.790709,54355.24,0113,1102,1,0
080131,29583.0,31810.0,0.929991,8729.48,0113,1102,1,0
