isic4,X_usd,X_kg,M_usd,M_kg,n_hs_X,n_hs_M,Px_usd_per_kg,Pm_usd_per_kg
2219,807510108.0,180075690.0,887426643.0,133660762.0,42,45,4.4843,6.6394
2220,1381771993.0,458448522.0,1932728061.0,654019018.0,66,67,3.014,2.9552
2310,415061861.0,721654715.0,402646844.0,402872104.0,59,62,0.5752,0.9994
2391,4933870.0,6873298.0,199645890.0,162827860.0,8,8,0.7178,1.2261
2392,106358767.0,282625681.0,212868840.0,696342004.0,12,12,0.3763,0.3057
2393,289193655.0,54756848.0,155967473.0,71012876.0,14,14,5.2814,2.1963
2394,21402879.0,288344921.0,237548597.0,3555931246.0,8,11,0.0742,0.0668
2395,43696176.0,206180162.0,62401597.0,220580133.0,13,13,0.2119,0.2829
2396,62562034.0,127781040.0,18182281.0,69255381.0,10,9,0.4896,0.2625
2399,46941699.0,27572109.0,269458860.0,116953573.0,27,34,1.7025,2.304
2410,1021003049.0,662568509.0,10155697526.0,11918749539.0,157,182,1.541,0.8521
2420,7797144570.0,674818459.0,3937858294.0,1567037749.0,102,138,11.5544,2.5129
2431,711327418.0,394385726.0,1811452324.0,874352883.0,24,24,1.8036,2.0718
2511,452180609.0,144579147.0,418201310.0,189390351.0,7,7,3.1276,2.2081
2512,67853817.0,47257075.0,160846092.0,39470828.0,8,8,1.4358,4.0751
2513,97598855.0,18633771.0,612657031.0,97617669.0,10,10,5.2377,6.2761
2520,6716649.0,180521.0,123500426.0,2341483.0,11,16,37.207,52.7445
2593,239835404.0,26457879.0,1234602270.0,239056713.0,87,88,9.0648,5.1645
2599,893875087.0,290602270.0,2371079296.0,631373934.0,112,115,3.0759,3.7554
2610,1867932697.0,77792845.0,4834165683.0,97864432.0,49,52,24.0116,49.3966
2620,2196703529.0,93386310.0,2939079678.0,78570394.0,17,17,23.5228,37.407
2630,1338963898.0,26424060.0,5833043448.0,123438176.0,15,15,50.6721,47.2548
2640,2882520948.0,119416984.0,734673923.0,61323838.0,30,32,24.1383,11.9802
2651,412001989.0,10417073.0,1302452940.0,79884682.0,65,66,39.5506,16.3042
2652,10963346.0,291765.0,46117751.0,6153869.0,27,45,37.5759,7.4941
2660,168830534.0,5156797.0,323100764.0,2074567.0,15,17,32.7394,155.7437
2670,194714609.0,2336539.0,223216193.0,5577034.0,35,38,83.3346,40.0242
